unified_id;month;zipcode;city;host_type;bedrooms;bathrooms;guests;revenue;openness;occupancy;nightly rate;lead time;length stay;Street Name;Latitude;Longitude;Hot Tub;Pool
AIR39771031;2019-12;92314;Big Bear City;Professionals;3;1;6;475;7;0.142857143;475;1;2;NULL_STREET;34.24161;-116.8589;0;0
AIR39775103;2019-11;92315;Big Bear Lake;2-5 Units;4;3;12;1445;14;0.142857143;722.5;1;2;NULL_STREET;34.24499;-116.95484;1;0
AIR39776275;2019-11;92252;Joshua Tree;2-5 Units;3;2;6;909;18;0.166666667;303;10;3;NULL_STREET;34.12772;-116.32183;1;0
AIR39779403;2019-12;92315;Big Bear Lake;Professionals;3;2.5;8;5149;8;1;643.625;5;2.666666667;NULL_STREET;34.24096;-116.89326;1;0
AIR39792941;2019-11;92252;Joshua Tree;Single Owners;3;1;6;695;19;0.210526316;173.75;4.333333333;1.333333333;NULL_STREET;34.14186;-116.31288;0;0
AIR39795581;2019-11;92315;Big Bear Lake;Professionals;3;2;7;358;14;0.142857143;179;11;2;NULL_STREET;34.24074;-116.86703;1;0
AIR39796476;2019-11;92315;Big Bear Lake;Professionals;3;2;10;0;10;0;;;;NULL_STREET;34.25161;-116.86747;0;0
AIR39796936;2019-11;92315;Big Bear Lake;Professionals;3;2;7;0;11;0;;;;NULL_STREET;34.24396;-116.87297;1;0
AIR39797474;2019-11;92314;Big Bear City;Professionals;3;2;10;1995;20;0.25;399;9;2.5;NULL_STREET;34.27207;-116.86113;0;0
AIR39816684;2019-11;92315;Big Bear Lake;Single Owners;3;2;7;900;9;0.222222222;450;5;1;NULL_STREET;34.2408;-116.8913;0;0
AIR39820447;2019-12;92315;Big Bear Lake;Professionals;3;2;10;160;2;0.5;160;1;1;NULL_STREET;34.2564;-116.87685;0;0
AIR39846081;2019-11;92315;Big Bear Lake;Single Owners;4;3;11;984;13;0.307692308;246;8;2;NULL_STREET;34.24461;-116.94777;0;0
AIR39846957;2019-11;92315;Big Bear Lake;Professionals;3;2;7;1734;9;0.666666667;289;9.5;3;NULL_STREET;34.24101;-116.9417;1;1
AIR39861872;2019-12;92252;Joshua Tree;Single Owners;3;2;8;0;8;0;;;;NULL_STREET;34.12241;-116.3481;1;1
AIR39868084;2019-12;92315;Big Bear Lake;Professionals;3;2;8;708;1;1;708;5;2;NULL_STREET;34.24202;-116.85789;0;0
AIR39891342;2019-12;92315;Big Bear Lake;Single Owners;3;2.5;8;0;4;0;;;;NULL_STREET;34.23367;-116.85922;0;0
AIR39896415;2019-12;92315;Big Bear Lake;Professionals;3;2;7;2744;8;0.75;457.3333333;6;3.5;NULL_STREET;34.24041;-116.93973;0;1
AIR39921445;2019-11;92315;Big Bear Lake;Professionals;3;2;7;1305;17;0.176470588;435;4;3;NULL_STREET;34.24681;-116.89507;0;0
AIR39947612;2019-11;92315;Big Bear Lake;2-5 Units;3;2.5;13;1747;14;0.214285714;582.3333333;2;3;NULL_STREET;34.24964;-116.87478;1;0
AIR39948646;2019-12;92315;Big Bear Lake;Professionals;3;2;8;0;4;0;;;;NULL_STREET;34.23991;-116.89175;0;0
AIR39948794;2019-12;92315;Big Bear Lake;Professionals;4;2;8;4326;12;0.583333333;618;5.666666667;2.333333333;NULL_STREET;34.24264;-116.94626;0;0
AIR39949856;2019-12;92315;Big Bear Lake;Single Owners;3;2;10;0;1;0;;;;NULL_STREET;34.23931;-116.92309;1;0
AIR39950371;2019-11;92315;Big Bear Lake;Professionals;4;4;12;0;14;0;;;;NULL_STREET;34.24937;-116.87528;0;0
AIR39950450;2019-11;92315;Big Bear Lake;Professionals;3;2;12;1638;18;0.166666667;546;9;3;NULL_STREET;34.24456;-116.9246;0;0
AIR39950851;2019-11;92314;Big Bear City;Professionals;3;3;8;1518;20;0.25;303.6;12;5;NULL_STREET;34.2574;-116.85022;0;0
AIR39951026;2019-11;92315;Big Bear Lake;Professionals;4;2;12;1123;20;0.15;374.3333333;2.5;1.5;NULL_STREET;34.241528;-116.88456;1;0
AIR39987933;2019-12;92314;Big Bear City;Single Owners;3;2;11;3636;8;0.625;727.2;5.8;1.4;NULL_STREET;34.24174;-116.86333;1;0
AIR40013623;2019-12;92314;Big Bear City;Professionals;3;2.5;6;0;3;0;;;;NULL_STREET;34.26129;-116.82382;0;0
AIR40036407;2019-12;92315;Big Bear Lake;2-5 Units;3;3;8;0;3;0;;;;NULL_STREET;34.251;-116.87404;0;0
AIR40038755;2019-12;92252;Joshua Tree;2-5 Units;4;2;9;2149;31;0.35483871;195.3636364;20;2.2;NULL_STREET;34.11779;-116.34572;1;0
AIR40063041;2019-12;92252;Joshua Tree;Single Owners;5;2.5;15+;929;8;0.25;464.5;5;1;NULL_STREET;34.11721;-116.32366;1;0
AIR4006508;2019-1;92315;Big Bear Lake;Professionals;3;2;8;9048.999969;31;0.741935484;393.4347813;43.375;2.875;Mountain Sky Drive;34.23756;-116.886459;1;0
AIR40070333;2019-12;92252;Joshua Tree;2-5 Units;3;2;7;0;4;0;;;;NULL_STREET;34.12862;-116.32028;0;0
AIR40072616;2019-12;92315;Big Bear Lake;Professionals;3;2;7;0;6;0;;;;NULL_STREET;34.23982;-116.8985;1;0
AIR4008052;2019-1;92315;Big Bear Lake;2-5 Units;3;2;7;9148.999908;31;0.838709677;351.8846119;52.38461538;2.076923077;Tayles Point Road;34.24087;-116.95099;1;0
AIR40082048;2019-12;92314;Big Bear City;Professionals;3;2;8;2102;8;0.5;525.5;8;2;NULL_STREET;34.24047;-116.83684;0;0
AIR40093820;2019-12;92315;Big Bear Lake;Professionals;3;2;6;0;2;0;;;;NULL_STREET;34.24528;-116.89364;0;0
